Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2012,228.00,229.70,226.00,228.40,228.341918169980988244,163583,2532,37352856.00,47535,29.06,3.70,0.40
28-December-2012,226.55,228.95,225.30,227.45,227.231398129116154201,238390,3383,54169693.00,62920,26.39,3.65,0.90
27-December-2012,231.70,231.75,225.80,226.15,227.769529343668781423,264333,3322,60207003.00,99168,37.52,5.95,-5.55
26-December-2012,228.00,231.50,227.75,230.15,230.269605282609766914,202930,3210,46728611.00,63386,31.24,3.75,2.15
24-December-2012,227.20,229.95,225.85,227.55,227.533049301205725786,212652,3511,48385358.00,50757,23.87,4.10,0.35
21-December-2012,230.70,230.70,226.80,227.65,228.337059740421280945,257263,3720,58742677.00,72146,28.04,3.90,-3.05
20-December-2012,231.35,232.70,228.50,232.00,231.125005813732246975,236509,3684,54663144.00,55204,23.34,4.20,0.65
19-December-2012,232.30,234.75,231.30,233.45,233.108255710293298754,382511,5484,89166472.00,114990,30.06,3.45,1.15
18-December-2012,222.00,230.65,222.00,230.10,227.208738194110176520,735438,9429,167097940.00,193512,26.31,8.65,8.10
17-December-2012,225.20,226.10,220.40,220.95,222.593318933680415540,751407,8333,167258178.00,279722,37.23,5.70,-4.25
14-December-2012,229.30,229.90,223.05,224.90,225.602336521215496085,617756,7796,139367197.00,287012,46.46,6.85,-4.40
13-December-2012,232.75,233.90,226.70,228.05,231.051650337677161609,431033,6401,99590886.00,149179,34.61,7.20,-4.70
12-December-2012,238.25,240.65,231.15,232.35,235.330025514254145064,623573,9390,146745450.00,214628,34.42,9.50,-5.90
11-December-2012,244.50,245.00,233.85,237.05,238.325551803063527378,499816,6346,119118924.00,136981,27.41,11.15,-7.45
10-December-2012,244.00,246.00,242.20,243.35,244.392150337735142693,312523,3951,76378168.00,90123,28.84,3.80,-0.65
7-December-2012,244.00,247.50,241.10,242.90,244.861901763349271081,503417,8456,123267644.00,144020,28.61,6.40,-1.10
6-December-2012,239.00,243.25,234.45,241.05,238.641377207444196947,386986,4968,92350872.00,112008,28.94,8.80,2.05
5-December-2012,239.35,241.35,236.75,237.65,238.441641766680624853,281794,4587,67191424.00,56456,20.03,4.60,-1.70
4-December-2012,238.00,242.30,237.00,237.85,240.014154525353444360,537284,7761,128955765.00,107938,20.09,5.30,-0.15
3-December-2012,233.90,238.70,232.00,237.05,236.273694449626332961,525334,7553,124122605.00,107742,20.51,6.70,3.15
30-November-2012,224.00,234.70,224.00,233.35,230.532210997579294727,1037301,12984,239131293.00,238588,23.00,10.70,9.35
29-November-2012,224.05,224.80,220.50,222.40,222.430828979039552493,518071,6983,115234962.00,164922,31.83,4.30,-1.65
27-November-2012,222.60,224.50,222.40,224.00,223.672303522179829631,253451,3569,56689969.00,64920,25.61,2.10,1.40
26-November-2012,225.00,226.05,221.00,221.50,222.509006792969195432,306935,3918,68295802.00,94313,30.73,5.05,-3.50
23-November-2012,222.50,225.50,222.15,224.65,224.316363796937015564,384984,5267,86358211.00,95745,24.87,3.35,2.15
22-November-2012,223.00,224.90,219.30,221.30,221.619912463953592930,478203,6903,105979307.00,157316,32.90,5.60,-1.70
21-November-2012,229.30,229.30,220.60,222.00,224.071514020821168662,421302,6970,94401777.00,140481,33.34,8.70,-7.30
20-November-2012,231.00,231.65,226.85,228.15,228.790691875916004305,164437,2708,37621655.00,52524,31.94,4.80,-2.85
19-November-2012,230.70,232.75,228.30,229.30,230.338256214103994380,169413,2965,39022295.00,40843,24.11,4.45,-1.40
16-November-2012,234.70,236.85,228.90,229.95,232.998591121301693416,180995,3045,42171580.00,50954,28.15,7.95,-4.75
15-November-2012,230.30,235.00,229.55,234.50,233.110186920915527636,241653,3950,56331776.00,58159,24.07,5.45,4.20
13-November-2012,232.80,232.95,231.50,232.15,232.279594122509933598,74998,1407,17420505.00,36259,48.35,1.45,-0.65
12-November-2012,233.00,234.50,230.85,231.95,232.713167525830711209,179244,3040,41712439.00,37740,21.06,3.65,-1.05
9-November-2012,237.00,239.50,231.40,232.30,235.268589573092444645,304539,4486,71648461.00,61493,20.19,8.10,-4.70
8-November-2012,234.50,238.40,233.20,237.35,236.317712829366547457,316251,4625,74735713.00,59870,18.93,5.20,2.85
