Date,Open,High,Low,Close,Shares Traded(Cr),Turnover (Rs Cr),Price/Earnings,Price/Bookvalue,Dividend Yield
2-January-2006,9422.49,9457.09,9366.09,9390.14,1.39,876.84,18.60,4.52,1.45,
3-January-2006,9401.83,9546.78,9390.79,9539.37,1.32,765.86,18.90,4.59,1.43,
4-January-2006,9523.29,9664.94,9523.29,9648.08,2.14,1006.95,19.05,4.63,1.42,
5-January-2006,9638.27,9679.72,9571.31,9617.74,1.91,943.29,18.98,4.61,1.42,
6-January-2006,9635.09,9680.92,9535.66,9640.29,1.60,881.69,19.04,4.62,1.42,
9-January-2006,9643.92,9689.68,9539.63,9583.45,1.55,931.84,18.97,4.61,1.42,
10-January-2006,9584.47,9600.08,9418.63,9445.30,2.45,1354.33,18.74,4.55,1.44,
12-January-2006,9334.13,9435.26,9303.71,9380.88,2.55,2071.30,18.67,4.53,1.45,
13-January-2006,9425.07,9471.89,9362.25,9374.19,1.56,936.15,18.66,4.53,1.45,
16-January-2006,9382.86,9397.62,9287.09,9311.19,1.72,1207.72,18.56,4.51,1.45,
17-January-2006,9317.99,9421.52,9289.23,9314.13,2.72,2003.58,18.54,4.50,1.46,
18-January-2006,9293.80,9302.78,9158.44,9237.53,4.59,3044.42,17.93,4.21,1.51,
19-January-2006,9271.63,9473.86,9271.63,9449.84,1.91,1152.97,18.32,4.31,1.47,
20-January-2006,9493.39,9556.19,9466.10,9520.96,1.78,1135.72,18.33,4.35,1.46,
23-January-2006,9467.56,9503.40,9432.93,9464.90,1.63,780.62,18.27,4.34,1.46,
24-January-2006,9503.42,9574.14,9503.42,9549.92,1.68,927.16,18.20,4.37,1.45,
25-January-2006,9580.30,9714.48,9580.30,9685.74,2.16,1343.91,18.44,4.43,1.43,
27-January-2006,9764.26,9883.95,9764.26,9870.79,1.81,1075.26,18.68,4.48,1.41,
30-January-2006,9896.46,9945.19,9803.68,9849.03,2.94,1068.50,18.62,4.48,1.42,
31-January-2006,9892.23,9939.55,9873.37,9919.89,1.85,974.95,18.49,4.51,1.41,
1-February-2006,9959.24,9993.92,9819.32,9859.26,1.90,1092.91,18.36,4.48,1.42,
2-February-2006,9890.90,9956.10,9816.01,9843.87,1.94,1064.79,18.31,4.47,1.42,
3-February-2006,9834.97,9837.74,9713.51,9742.58,1.59,916.01,18.15,4.43,1.43,
6-February-2006,9746.09,10002.83,9739.71,9980.42,2.14,1186.96,18.52,4.52,1.40,
7-February-2006,9993.39,10099.58,9972.43,10082.28,1.89,1017.02,18.64,4.55,1.39,
8-February-2006,10083.53,10083.53,9958.55,10044.82,1.77,1032.54,18.61,4.54,1.40,
10-February-2006,10066.36,10122.25,10057.07,10110.97,1.85,1035.33,18.67,4.56,1.39,
13-February-2006,10117.50,10182.77,10096.28,10173.25,1.54,954.80,18.72,4.58,1.39,
14-February-2006,10180.51,10185.06,10064.46,10086.63,2.14,1087.17,18.53,4.54,1.40,
15-February-2006,10144.90,10191.97,10036.01,10113.18,2.39,1152.22,18.59,4.56,1.39,
16-February-2006,10133.42,10195.42,10110.46,10124.30,1.57,881.36,18.60,4.56,1.39,
17-February-2006,10168.55,10184.04,9970.00,9981.11,1.87,1216.31,18.35,4.50,1.41,
20-February-2006,10002.36,10092.85,9896.64,10079.30,1.48,813.04,18.56,4.55,1.39,
21-February-2006,10108.16,10195.51,10108.16,10168.11,1.51,863.95,18.72,4.59,1.38,
22-February-2006,10179.26,10237.61,10157.26,10224.32,1.60,922.59,18.89,4.63,1.37,
23-February-2006,10268.51,10304.88,10228.22,10244.05,1.89,1056.84,18.99,4.66,1.36,
24-February-2006,10256.74,10271.67,10177.12,10200.76,1.28,764.38,18.90,4.63,1.37,
27-February-2006,10214.58,10296.22,10109.34,10282.09,1.30,776.15,19.02,4.66,1.36,
28-February-2006,10308.71,10422.65,10206.06,10370.24,3.18,1750.76,19.06,4.67,1.36,
1-March-2006,10368.75,10573.29,10344.26,10565.47,2.76,1644.97,19.39,4.75,1.33,
2-March-2006,10597.19,10706.22,10593.80,10626.78,2.67,1519.52,19.54,4.79,1.32,
3-March-2006,10649.28,10690.00,10556.03,10595.43,1.79,1254.12,19.51,4.78,1.33,
6-March-2006,10616.99,10742.31,10616.99,10735.36,2.15,1108.69,19.79,4.85,1.31,
7-March-2006,10747.87,10753.13,10661.62,10725.67,2.44,1293.69,19.77,4.85,1.31,
8-March-2006,10728.39,10740.60,10493.91,10508.85,2.73,1692.85,19.37,4.75,1.34,
9-March-2006,10533.89,10593.08,10376.54,10573.54,3.64,2364.72,19.46,4.77,1.33,
10-March-2006,10581.64,10782.34,10581.64,10765.16,1.84,1216.98,19.77,4.85,1.31,
13-March-2006,10795.99,10884.48,10782.53,10803.71,1.58,960.96,19.95,4.89,1.30,
14-March-2006,10796.82,10896.39,10761.22,10801.72,2.26,1647.50,19.93,4.89,1.30,
