Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2012,318.55,320.90,315.70,316.80,317.771761869304683898,84609,1543,26886351.00,19444,22.98,5.20,-1.75
28-December-2012,317.70,323.30,313.75,318.35,318.813141095908076808,387715,7490,123608637.00,75802,19.55,9.55,0.65
27-December-2012,317.80,321.55,315.50,318.65,319.139867742418730070,233635,3603,74562243.00,70191,30.04,6.05,0.85
26-December-2012,308.85,318.50,308.80,317.45,316.151606327551061048,276189,4652,87317596.00,85467,30.95,9.70,8.60
24-December-2012,305.60,311.25,303.40,308.85,308.393284125756044117,177073,2852,54608124.00,22569,12.75,7.85,3.25
21-December-2012,315.00,315.00,305.25,307.15,308.898468367396712355,287014,4672,88658185.00,52455,18.28,9.75,-7.85
20-December-2012,314.00,318.20,309.40,316.90,315.212106545152620540,254127,3489,80103907.00,30571,12.03,8.80,2.90
19-December-2012,313.40,318.85,313.05,315.95,316.794964347402453607,406422,4126,128752443.00,238414,58.66,5.80,2.55
18-December-2012,300.50,314.05,300.50,313.15,310.100878222778769918,421647,6919,130753105.00,89527,21.23,13.55,12.65
17-December-2012,310.00,311.05,299.10,300.45,304.385652172623549335,674346,6538,205261247.00,247100,36.64,11.95,-9.55
14-December-2012,318.40,319.35,309.00,311.95,312.816043588293993329,263557,4249,82444858.00,57184,21.70,10.35,-6.45
13-December-2012,311.10,320.00,310.50,316.75,316.298376670018675477,341089,4940,107885897.00,92168,27.02,9.50,5.65
12-December-2012,317.00,318.00,308.00,311.95,312.950908768507846440,225580,4522,70595466.00,61032,27.06,10.00,-5.05
11-December-2012,317.00,321.00,312.00,314.10,316.816549574195424759,220054,3520,69716749.00,63009,28.63,9.00,-2.90
10-December-2012,325.00,326.00,316.10,317.80,319.288778298879658411,202349,4127,64607765.00,48764,24.10,9.90,-7.20
7-December-2012,324.05,329.90,320.10,322.50,326.099404927279658333,154771,2699,50470731.00,32690,21.12,9.80,-1.55
6-December-2012,334.35,335.20,321.05,324.80,324.949699375171925963,356258,4848,115765930.00,124914,35.06,14.15,-9.55
5-December-2012,331.05,332.60,326.70,330.05,329.093710859427048634,150100,2932,49396966.00,44765,29.82,5.90,-1.00
4-December-2012,329.90,334.05,327.55,332.00,330.595533359519667807,249494,3034,82481602.00,110535,44.30,6.50,2.10
3-December-2012,336.00,340.00,330.05,331.20,333.891958538133551343,300903,4738,100469092.00,110108,36.59,9.95,-4.80
30-November-2012,332.00,340.95,324.80,337.15,333.337400360769863028,906395,10668,302135353.00,309369,34.13,16.15,5.15
29-November-2012,326.40,332.40,325.00,330.15,328.367389288536397247,1269313,8571,416800996.00,785781,61.91,7.40,3.75
27-November-2012,312.00,331.00,311.00,326.55,319.573867231505028905,741215,14540,236872944.00,170543,23.01,20.00,14.55
26-November-2012,307.00,312.00,306.80,310.35,309.550743020580737424,241245,2941,74677569.00,87122,36.11,5.20,3.35
23-November-2012,309.00,312.00,303.50,305.40,306.837995084743222790,266924,4333,81902425.00,84993,31.84,8.50,-3.60
22-November-2012,307.30,311.50,305.60,308.20,308.531180054037217590,276106,4578,85187310.00,30429,11.02,5.90,0.90
21-November-2012,309.60,310.10,303.60,307.30,306.226167893365708070,197685,4090,60536320.00,41788,21.14,6.50,-2.30
20-November-2012,311.40,312.70,306.10,309.25,309.600277431141554017,545721,8962,168955373.00,257179,47.13,6.60,-2.15
19-November-2012,302.50,311.40,302.50,309.80,309.006099069141105017,1018844,11319,314829010.00,597658,58.66,8.90,7.30
16-November-2012,293.40,303.95,292.90,301.10,300.126548933579247043,789979,13861,237093671.00,344824,43.65,11.05,7.70
15-November-2012,285.00,296.05,285.00,291.00,292.156322523669672013,584292,8627,170704602.00,247990,42.44,11.05,6.00
