Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2012,417.55,418.80,413.30,414.10,414.531214733157782829,122282,1707,50689706.00,86640,70.85,5.50,-3.45
28-December-2012,418.50,422.00,415.20,416.40,417.416528227099181020,68622,1645,28643957.00,28927,42.15,6.80,-2.10
27-December-2012,421.00,424.45,414.10,415.60,419.065335830788836716,116919,1910,48996700.00,55217,47.23,10.35,-5.40
26-December-2012,419.10,423.95,419.10,420.45,421.532201485550215342,80105,1576,33766837.00,38748,48.37,4.85,1.35
24-December-2012,419.00,424.35,417.80,418.20,419.134751288325109012,146314,1742,61325282.00,95690,65.40,6.55,-0.80
21-December-2012,424.55,430.00,417.25,418.90,425.842544253696913775,247098,3375,105224841.00,126965,51.38,12.75,-5.65
20-December-2012,419.80,429.35,419.00,424.55,425.049368868282105300,453788,4061,192882303.00,286138,63.06,10.35,4.75
19-December-2012,413.10,420.35,413.10,419.80,418.517089785396001570,117146,2661,49027603.00,48633,41.51,7.25,6.70
18-December-2012,409.10,417.00,409.10,412.45,414.029598486441034265,95140,2689,39390776.00,24847,26.12,7.90,3.35
17-December-2012,404.80,411.00,403.70,409.25,406.989256272516314311,77999,1629,31744755.00,31626,40.55,7.30,4.45
14-December-2012,407.80,410.80,402.70,404.05,405.484008388322225760,91079,2059,36931078.00,32390,35.56,8.10,-3.75
13-December-2012,416.95,417.95,404.85,406.50,411.667299881272261450,80015,2329,32939559.00,34333,42.91,13.10,-10.45
12-December-2012,417.90,418.95,411.40,415.40,414.844284343277327962,73981,2010,30690595.00,22151,29.94,7.55,-2.50
11-December-2012,418.00,423.00,411.20,415.45,418.095596824221600037,278231,4833,116327156.00,135054,48.54,11.80,-2.55
10-December-2012,412.00,419.00,409.80,417.30,415.520915272531030760,231625,3612,96245032.00,122190,52.75,9.20,5.30
7-December-2012,411.05,414.10,406.30,410.20,410.469369813667259900,93274,2188,38286120.00,33819,36.26,7.80,-0.85
6-December-2012,415.00,416.90,407.70,411.75,410.260083604432579977,116501,2144,47795710.00,54156,46.49,9.20,-3.25
5-December-2012,414.00,416.00,411.30,414.30,414.283596378093047374,150418,3182,62315710.00,90894,60.43,4.70,0.30
4-December-2012,413.00,420.10,410.35,411.30,415.277908755984317640,152273,3319,63235613.00,61727,40.54,9.75,-1.70
3-December-2012,415.05,416.85,410.00,413.50,412.951182969278111284,198230,3365,81859313.00,82054,41.39,6.85,-1.55
