Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2012,1899.70,1912.85,1881.00,1898.35,1903.030714516650501131,9279,763,17658222.00,1962,21.14,31.85,-1.35
28-December-2012,1870.05,1903.00,1870.05,1894.00,1892.913328313253012048,13280,1201,25137889.00,3950,29.74,32.95,23.95
27-December-2012,1882.00,1891.00,1855.00,1868.75,1873.459155844155844155,15400,972,28851271.00,6550,42.53,36.00,-13.25
26-December-2012,1886.40,1890.00,1865.00,1874.80,1874.857235676314235085,16930,1260,31741333.00,6546,38.67,25.00,-11.60
24-December-2012,1914.00,1917.00,1875.00,1890.85,1898.283345263660224290,8382,779,15911411.00,2869,34.23,42.00,-23.15
21-December-2012,1895.00,1912.00,1893.00,1896.70,1901.400031387319522912,19116,1140,36347163.00,6724,35.17,19.00,1.70
20-December-2012,1918.00,1933.00,1886.25,1910.85,1915.069340683252339160,27574,1894,52806122.00,5535,20.07,46.75,-7.15
19-December-2012,1887.90,1924.45,1884.50,1918.50,1906.249101399924328414,21144,1646,40305731.00,7612,36.00,39.95,30.60
18-December-2012,1869.35,1888.20,1861.00,1881.50,1875.412621737436696532,12835,909,24070921.00,3525,27.46,27.20,12.15
17-December-2012,1868.00,1884.35,1857.00,1867.10,1863.220799347471451876,24520,810,45686174.00,1315,5.36,27.35,-0.90
14-December-2012,1882.00,1885.00,1851.40,1868.30,1864.549553081386231770,12754,986,23780465.00,3604,28.26,33.60,-13.70
13-December-2012,1891.50,1909.95,1868.80,1873.10,1895.000766283524904214,20880,1762,39567616.00,5199,24.90,41.15,-18.40
12-December-2012,1859.00,1888.45,1859.00,1885.15,1879.598591549295774647,29252,2275,54982018.00,8586,29.35,29.45,26.15
11-December-2012,1850.00,1861.95,1838.15,1849.70,1850.640164341505259831,22149,1873,40989829.00,9405,42.46,23.80,-0.30
10-December-2012,1825.00,1846.00,1825.00,1841.65,1840.440488609213581451,29717,1778,54692370.00,16596,55.85,21.00,16.65
