Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2012,2318.40,2325.00,2303.80,2318.50,2313.575992333958673558,74093,5290,171419786.00,46341,62.54,21.20,0.10
28-December-2012,2300.00,2322.00,2290.20,2318.40,2312.847132583440899870,48807,3245,112883130.00,13560,27.78,31.80,18.40
27-December-2012,2325.00,2329.25,2277.15,2286.85,2299.022804560912182436,39992,2442,91942520.00,14212,35.54,52.10,-38.15
26-December-2012,2321.00,2331.65,2304.85,2311.30,2314.035878689412401841,36930,2242,85457345.00,10741,29.08,26.80,-9.70
24-December-2012,2301.05,2327.90,2301.05,2318.95,2320.147430932093983991,38730,2745,89859310.00,11602,29.96,26.85,17.90
21-December-2012,2295.20,2321.40,2284.30,2292.50,2303.443258265128022639,59013,4138,135933097.00,14032,23.78,37.10,-2.70
20-December-2012,2300.00,2310.05,2280.20,2298.80,2294.282923818999282142,79403,5763,182172947.00,29849,37.59,29.85,-1.20
19-December-2012,2272.00,2299.45,2271.00,2295.35,2286.955878071503435425,68696,4606,157104721.00,25284,36.81,28.45,23.35
18-December-2012,2264.00,2275.00,2245.10,2270.60,2263.920350592914487736,67885,4492,153686233.00,18330,27.00,29.90,6.60
17-December-2012,2276.90,2292.00,2256.15,2264.55,2269.682335102350265352,64631,4143,146691839.00,20473,31.68,35.85,-12.35
14-December-2012,2274.00,2295.45,2267.05,2277.25,2277.346004175365344467,59875,3567,136356092.00,19316,32.26,28.40,3.25
13-December-2012,2301.30,2313.50,2275.00,2283.00,2288.123510599156595816,70666,4603,161692536.00,28967,40.99,38.50,-18.30
12-December-2012,2305.05,2323.00,2287.00,2298.90,2307.242434952479484889,155617,4480,359046146.00,79123,50.84,36.00,-6.15
11-December-2012,2318.00,2336.00,2284.10,2294.10,2307.044513735820654803,93005,4686,214566675.00,43247,46.50,51.90,-23.90
10-December-2012,2311.00,2344.50,2298.00,2309.60,2322.484200457384114697,90952,4454,211234583.00,38721,42.57,46.50,-1.40
7-December-2012,2335.00,2349.85,2311.00,2319.70,2324.460312669765195871,115969,6841,269565338.00,43749,37.72,38.85,-15.30
6-December-2012,2388.30,2398.00,2315.50,2338.50,2335.183650214184726413,142167,8092,331986054.00,58680,41.28,82.50,-49.80
5-December-2012,2425.00,2427.95,2369.00,2382.30,2391.262099500048286569,134613,8363,321894965.00,65017,48.30,58.95,-42.70
4-December-2012,2430.00,2445.00,2416.00,2429.30,2430.560516435729141344,37023,2792,89986642.00,11327,30.59,29.00,-0.70
3-December-2012,2442.00,2453.00,2423.35,2436.00,2436.704311708860759493,40448,2551,98559816.00,14811,36.62,29.65,-6.00
