Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2012,445.00,454.30,445.00,447.50,449.519890033859284975,163323,3123,73416937.00,51712,31.66,9.30,2.50
28-December-2012,448.00,450.70,440.70,445.45,445.390189352261367967,139053,3517,61932842.00,17336,12.47,10.00,-2.55
27-December-2012,457.70,459.60,445.00,446.90,452.890270731690390100,144091,2914,65257412.00,42938,29.80,14.60,-10.80
26-December-2012,447.90,457.00,444.80,454.55,453.000666961668943314,155931,3962,70636847.00,22985,14.74,12.20,6.65
24-December-2012,456.00,459.90,443.10,445.50,449.109756543220704424,136821,4078,61447646.00,34588,25.28,16.80,-10.50
21-December-2012,470.50,472.00,449.95,454.25,462.252297423993986428,242119,6011,111920064.00,49723,20.54,22.05,-16.25
20-December-2012,463.00,473.90,456.85,470.80,466.646496252106723832,277089,6851,129302611.00,53381,19.26,17.05,7.80
19-December-2012,449.75,462.60,449.75,460.35,457.756608800318290097,198561,4249,90892610.00,50597,25.48,12.85,10.60
18-December-2012,441.45,452.00,438.50,449.75,447.536582384525715444,335421,7413,150113168.00,76457,22.79,13.50,8.30
17-December-2012,431.80,448.70,430.75,440.65,440.329507488208655129,266085,6746,117165077.00,47959,18.02,17.95,8.85
14-December-2012,421.25,431.70,420.00,430.50,428.043926122973354069,606359,8869,259548287.00,65435,10.79,11.70,9.25
13-December-2012,415.00,423.50,412.30,420.10,418.503823574240409529,190267,3728,79627467.00,62451,32.82,11.20,5.10
12-December-2012,422.00,423.50,410.00,412.85,414.700154642358954398,858109,3831,355857935.00,28857,3.36,13.50,-9.15
11-December-2012,411.00,421.90,410.00,419.35,417.351035346964488694,292076,6699,121898221.00,59924,20.52,11.90,8.35
10-December-2012,409.45,411.65,404.50,408.95,407.830158602851242155,99746,2947,40679427.00,23759,23.82,7.15,-0.50
7-December-2012,410.00,412.80,404.20,409.45,408.390397485196864404,101161,2508,41313181.00,25090,24.80,8.60,-0.55
6-December-2012,406.70,409.45,400.00,406.90,405.223900379371101128,125998,3443,51057401.00,27357,21.71,9.45,0.20
5-December-2012,411.85,414.90,403.50,404.65,408.325890783819215416,170103,3702,69457459.00,39036,22.95,11.40,-7.20
4-December-2012,406.25,415.40,405.00,408.05,410.588396872381462364,201687,3921,82810342.00,36807,18.25,10.40,1.80
3-December-2012,405.00,413.45,403.20,405.10,407.440268138567855927,202731,4917,82600773.00,39176,19.32,10.25,0.10
30-November-2012,382.50,405.00,382.00,402.00,396.047609717400186854,418507,8558,165748697.00,108901,26.02,23.00,19.50
29-November-2012,383.90,385.35,378.60,381.45,381.854367390884244816,144892,2724,55327643.00,32554,22.47,6.75,-2.45
27-November-2012,374.50,382.90,374.50,379.45,379.375393524369786520,174068,6470,66037116.00,50085,28.77,8.40,4.95
26-November-2012,375.55,377.75,371.30,372.50,374.383156177646811197,76016,1673,28459110.00,21645,28.47,6.45,-3.05
23-November-2012,376.70,377.55,372.00,374.70,374.642835466784374310,72496,1710,27160107.00,15725,21.69,5.55,-2.00
22-November-2012,378.30,380.15,372.10,375.45,376.042237267271887982,129980,4250,48877970.00,40055,30.82,8.05,-2.85
21-November-2012,372.50,380.00,367.10,375.75,375.053754592883387905,174999,4114,65634032.00,33891,19.37,12.90,3.25
20-November-2012,376.00,376.00,365.05,368.50,370.518127393745584352,107572,3101,39857376.00,29385,27.32,10.95,-7.50
19-November-2012,373.95,375.80,366.05,371.65,370.973501170337269922,150384,3222,55788479.00,28234,18.77,9.75,-2.30
16-November-2012,371.50,382.75,367.60,371.05,375.811033848536671937,247928,5988,93174078.00,42383,17.09,15.15,-0.45
15-November-2012,377.90,379.40,365.75,368.75,370.090155192135283024,129388,3382,47885225.00,35948,27.78,13.65,-9.15
13-November-2012,379.80,382.90,376.05,377.50,378.455842428943431769,36098,810,13661499.00,15456,42.82,6.85,-2.30
12-November-2012,383.45,385.00,376.10,378.80,383.061179205789664701,556578,3921,213203425.00,41436,7.44,8.90,-4.65
9-November-2012,384.35,388.90,379.00,382.45,384.443955727843623060,431061,5861,165718796.00,220428,51.14,9.90,-1.90
8-November-2012,384.50,388.65,380.85,382.85,385.171788571024077501,197778,3431,76178506.00,72395,36.60,7.80,-1.65
7-November-2012,387.75,395.00,385.00,387.45,390.611302473388297517,224995,5400,87885590.00,43350,19.27,10.00,-0.30
6-November-2012,382.00,389.50,382.00,386.35,386.325151055271278906,177253,4654,68477292.00,26170,14.76,7.50,4.35
5-November-2012,389.90,392.65,380.10,380.90,384.878514543430479833,140132,3445,53933796.00,44802,31.97,12.55,-9.00
2-November-2012,394.80,399.90,387.00,388.85,396.331185574705573941,837307,5540,331850876.00,638636,76.27,12.90,-5.95
1-November-2012,389.00,394.00,382.80,392.00,388.356551539542486784,209218,4943,81251181.00,24861,11.88,11.20,3.00
31-October-2012,378.00,390.90,372.15,387.40,380.689073780229457261,240742,5704,91647849.00,46081,19.14,18.75,9.40
30-October-2012,390.00,392.00,375.25,379.35,382.930632797761398144,142589,3320,54601696.00,34238,24.01,16.75,-10.65
29-October-2012,387.50,395.90,384.70,388.10,389.930016166908580262,169482,4434,66086119.00,22070,13.02,11.20,0.60
