Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2012,1601.25,1623.40,1601.25,1605.85,1610.418845255312048058,80901,3280,130284495.00,24546,30.34,22.15,4.60
28-December-2012,1617.35,1630.00,1609.45,1618.15,1620.441373753440138965,95563,3713,154854239.00,29677,31.05,20.55,0.80
27-December-2012,1626.30,1632.00,1611.50,1614.90,1622.108343789209535759,127520,5188,206851256.00,49496,38.81,20.50,-11.40
26-December-2012,1590.00,1625.00,1586.50,1619.95,1612.722320917071251251,172811,6555,278696157.00,65058,37.65,38.50,29.95
24-December-2012,1600.30,1600.30,1572.50,1585.25,1584.065904863141110815,124179,6807,196707720.00,49391,39.77,27.80,-15.05
21-December-2012,1606.00,1618.60,1583.00,1588.75,1602.573581656957557322,174235,7489,279224408.00,55518,31.86,35.60,-17.25
20-December-2012,1633.00,1642.35,1612.00,1616.75,1620.032896324967744620,240270,7785,389245304.00,107518,44.75,30.35,-16.25
19-December-2012,1665.50,1673.45,1626.40,1633.45,1643.664973868771735846,155561,7340,255690167.00,50356,32.37,47.05,-32.05
18-December-2012,1640.00,1661.95,1634.00,1655.95,1652.589316954913525942,160048,5818,264493615.00,56705,35.43,27.95,15.95
17-December-2012,1635.00,1644.90,1622.55,1633.75,1632.649402175136790434,222055,3592,362537963.00,26210,11.80,22.35,-1.25
14-December-2012,1631.00,1648.95,1626.30,1638.20,1638.791094285735535837,134453,6023,220340379.00,39688,29.52,22.65,7.20
13-December-2012,1652.00,1655.00,1620.05,1625.50,1632.498588661449612138,146315,5882,238859031.00,49516,33.84,34.95,-26.50
12-December-2012,1670.00,1677.00,1640.40,1647.70,1655.103785045741691491,189324,7384,313350869.00,55935,29.54,36.60,-22.30
11-December-2012,1667.35,1679.90,1651.60,1667.30,1666.379969733478299197,136124,5150,226834307.00,38033,27.94,28.30,-0.05
10-December-2012,1675.00,1682.65,1659.00,1661.80,1666.882201870426903135,82548,3562,137597792.00,14286,17.31,23.65,-13.20
7-December-2012,1680.00,1699.00,1664.15,1672.55,1682.681580011852911018,212606,8107,357748200.00,56645,26.64,34.85,-7.45
6-December-2012,1678.00,1681.00,1643.00,1673.35,1661.424423592209360205,188842,6630,313746711.00,68819,36.44,38.00,-4.65
5-December-2012,1663.35,1681.40,1660.20,1666.30,1672.453865398841336203,120311,5680,201214597.00,41867,34.80,21.20,2.95
4-December-2012,1665.00,1667.00,1645.50,1658.55,1657.049882500939118888,114469,4437,189680843.00,39560,34.56,21.50,-6.45
3-December-2012,1670.00,1684.85,1652.25,1666.15,1668.465903124471616342,112371,5218,187487182.00,21925,19.51,32.60,-3.85
30-November-2012,1662.05,1676.00,1655.00,1667.10,1667.141138913777450765,168529,6240,280961629.00,62320,36.98,21.00,5.05
29-November-2012,1625.30,1666.45,1620.40,1662.00,1653.726413308656515521,285288,12063,471788301.00,138696,48.62,46.05,36.70
27-November-2012,1612.05,1629.00,1612.05,1619.60,1622.195014512898082662,97844,4650,158722049.00,24788,25.33,16.95,7.55
26-November-2012,1590.00,1613.50,1589.55,1607.00,1603.865800757670371758,120105,5316,192632302.00,36769,30.61,23.95,17.00
23-November-2012,1597.00,1598.00,1571.25,1586.75,1584.660813154210977163,95726,4281,151693241.00,14994,15.66,26.75,-10.25
22-November-2012,1571.25,1599.50,1563.00,1590.95,1582.810651810729817399,153833,6981,243488511.00,35689,23.20,36.50,19.70
21-November-2012,1557.00,1568.00,1538.75,1564.00,1556.201006212680590493,190417,9732,296327127.00,53280,27.98,29.25,7.00
20-November-2012,1571.55,1574.00,1537.20,1549.60,1553.576860225960048460,141972,6842,220564414.00,36975,26.04,36.80,-21.95
