Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2012,266.00,268.70,266.00,267.35,267.279791329881529726,128049,3191,34224910.00,51263,40.03,2.70,1.35
28-December-2012,262.70,267.00,259.95,265.85,264.893683990816113546,359325,5749,95182923.00,173156,48.19,7.05,3.15
27-December-2012,259.00,263.25,257.00,259.40,260.313296061032710127,244328,3265,63601827.00,85643,35.05,6.25,0.40
26-December-2012,258.00,259.85,255.85,257.20,257.009006376941877124,177985,2979,45743748.00,63653,35.76,4.00,-0.80
24-December-2012,259.00,259.00,255.50,256.20,256.419744000841064998,152188,2636,39024008.00,58476,38.42,3.50,-2.80
21-December-2012,264.00,264.00,260.10,261.10,261.222225113858165256,115275,1961,30112392.00,33862,29.37,3.90,-2.90
20-December-2012,267.00,267.00,263.20,265.05,264.569402438337121710,159699,2225,42251469.00,73129,45.79,3.80,-1.95
19-December-2012,259.00,265.20,258.05,264.35,262.834435562915547629,282609,5657,74279377.00,112500,39.81,7.15,5.35
18-December-2012,258.60,260.40,255.55,256.25,256.973511501584838162,228099,3454,58615401.00,109960,48.21,4.85,-2.35
17-December-2012,259.50,264.00,258.00,258.50,261.150427826771137265,427042,2003,111522201.00,31944,7.48,6.00,-1.00
14-December-2012,260.30,261.00,256.30,259.50,258.514773402473937233,148104,2321,38287072.00,45841,30.95,4.70,-0.80
13-December-2012,260.00,263.00,257.00,260.25,259.348280345831844208,131509,2506,34106633.00,32498,24.71,6.00,0.25
12-December-2012,263.50,264.00,259.10,259.70,260.626885725462183444,235188,2755,61296316.00,132912,56.51,4.90,-3.80
11-December-2012,266.55,267.35,261.20,263.50,264.485809413594885318,105422,2327,27882623.00,38231,36.26,6.15,-3.05
10-December-2012,270.00,270.00,265.20,266.10,266.950590503735839961,74682,1425,19936404.00,34747,46.53,4.80,-3.90
7-December-2012,268.90,269.00,264.10,267.55,267.051701953444847350,128235,2408,34245375.00,63012,49.14,4.90,-1.35
6-December-2012,268.00,268.70,263.35,268.00,265.590383975405289764,126206,2064,33519100.00,57130,45.27,5.35,0.00
5-December-2012,266.00,268.50,265.10,267.25,266.967169385451933928,233928,2389,62451096.00,160369,68.55,3.40,1.25
4-December-2012,263.80,267.50,262.25,265.10,265.335606690196527046,297211,2903,78860661.00,175189,58.94,5.25,1.30
3-December-2012,264.80,265.25,261.15,262.55,263.602408037215120597,127905,2398,33716066.00,55974,43.76,4.10,-2.25
30-November-2012,253.50,266.50,253.50,264.90,261.817215811184794527,459624,6016,120337476.00,178966,38.94,13.00,11.40
29-November-2012,250.80,254.40,250.00,253.65,253.002955829299594773,197914,3012,50072827.00,96756,48.89,4.40,2.85
27-November-2012,253.00,254.00,248.75,249.75,251.689942529573505870,342959,4911,86319331.00,190485,55.54,5.25,-3.25
26-November-2012,253.00,253.00,249.50,249.95,251.177553258145363408,165984,2864,41691455.00,115279,69.45,3.50,-3.05
23-November-2012,251.00,252.65,249.25,251.10,250.765164577629828771,142091,2576,35631473.00,59490,41.87,3.40,0.10
22-November-2012,252.30,253.60,250.65,251.20,252.125512983251790049,162286,3317,40916441.00,82485,50.83,2.95,-1.10
21-November-2012,251.85,253.50,250.70,252.30,252.088993546704908415,122728,2454,30938378.00,50143,40.86,2.80,0.45
20-November-2012,254.55,255.35,251.00,251.85,253.004390499628664210,137342,2411,34748129.00,56103,40.85,4.35,-2.70
19-November-2012,256.90,258.50,253.10,254.10,256.250913790784310285,170991,2232,43816600.00,85513,50.01,5.40,-2.80
16-November-2012,253.00,259.40,250.10,255.45,256.203932387229164158,382058,4989,97884762.00,230937,60.45,9.30,2.45
15-November-2012,255.80,255.80,251.80,253.50,253.345007498519199989,158698,4107,40205346.00,73762,46.48,4.00,-2.30
13-November-2012,257.35,257.50,254.50,256.70,256.384527825776900079,72918,1505,18695047.00,45241,62.04,3.00,-0.65
12-November-2012,256.30,258.55,254.20,255.25,256.940610782498511685,1464744,3644,376352218.00,132923,9.07,4.35,-1.05
9-November-2012,263.00,265.00,255.65,257.10,261.094233497686399279,1008601,8710,263339905.00,714003,70.79,9.35,-5.90
8-November-2012,264.90,267.30,263.40,265.20,265.384114731146176259,132135,2311,35066530.00,37827,28.63,3.90,0.30
7-November-2012,266.85,268.00,265.60,266.60,266.644586521329001152,209902,1970,55969232.00,117769,56.11,2.40,-0.25
6-November-2012,267.00,269.40,265.00,267.05,265.750792294851061609,306704,2176,81506831.00,243994,79.55,4.40,0.05
5-November-2012,264.80,267.90,260.00,266.55,265.648048121336974973,278629,2803,74017250.00,113857,40.86,7.90,1.75
2-November-2012,265.50,267.90,264.75,265.70,265.877301174462551306,196856,2541,52339542.00,82142,41.73,3.15,0.20
1-November-2012,267.40,267.40,263.55,264.70,265.387223668212165595,321579,3909,85342958.00,199678,62.09,3.85,-2.70
31-October-2012,273.05,273.05,265.80,268.30,268.034190002872426333,369026,3929,98911585.00,238962,64.75,7.25,-4.75
30-October-2012,272.50,274.50,270.00,273.00,272.488481306891106208,169073,2105,46070445.00,82544,48.82,4.50,0.50
29-October-2012,275.00,277.00,273.30,273.85,274.804474016743010582,50648,1043,13918297.00,21082,41.62,3.70,-1.15
26-October-2012,276.95,276.95,273.10,274.55,274.765024016200130885,80987,1389,22252395.00,24627,30.41,3.85,-2.40
25-October-2012,277.50,280.50,276.10,276.85,278.066167276432177094,86372,1377,24017131.00,41175,47.67,4.40,-0.65
23-October-2012,277.50,278.70,275.30,275.90,276.465615147946974588,105308,1763,29114041.00,39158,37.18,3.40,-1.60
22-October-2012,278.50,280.05,277.50,278.35,279.278933362073253635,241244,2064,67374367.00,197641,81.93,2.55,-0.15
19-October-2012,279.50,280.20,274.65,279.05,277.621525508139571077,128508,2569,35676587.00,39095,30.42,5.55,-0.45
18-October-2012,280.00,281.90,278.15,278.90,279.921576010680176633,116852,1468,32709396.00,67243,57.55,3.75,-1.10
17-October-2012,280.90,281.30,278.35,279.45,279.806496378854243462,69177,1346,19356174.00,22429,32.42,2.95,-1.45
16-October-2012,281.00,281.90,277.65,278.95,279.646639485936866828,120919,1612,33814592.00,63169,52.24,4.25,-2.05
15-October-2012,278.30,280.35,275.95,279.85,278.558060359443879281,73725,1425,20536693.00,26559,36.02,4.40,1.55
12-October-2012,280.00,281.85,276.30,277.30,279.230510161758606387,60275,1460,16830619.00,20895,34.67,5.55,-2.70
11-October-2012,276.05,280.95,276.05,280.10,279.154763526613080703,95423,1817,26637785.00,25720,26.95,4.90,4.05
10-October-2012,279.00,279.00,275.85,276.35,276.852639096175757867,124626,2668,34503037.00,49251,39.52,3.15,-2.65
9-October-2012,282.90,284.35,279.60,280.75,281.558907061012633434,112321,1882,31624978.00,39711,35.35,4.75,-2.15
8-October-2012,289.50,289.50,280.20,281.95,283.866894133968242065,213364,3222,60566976.00,100984,47.33,9.30,-7.55
5-October-2012,284.10,287.90,280.95,287.20,284.947702969184693753,338241,6010,96380996.00,147546,43.62,6.95,3.10
4-October-2012,282.40,287.00,282.40,284.10,284.848753932770326212,193248,3384,55046452.00,65717,34.01,4.60,1.70
3-October-2012,278.50,282.00,278.50,281.35,280.188121396198656953,84286,1779,23615936.00,39695,47.10,3.50,2.85
1-October-2012,279.20,280.85,277.10,278.05,278.435005240545016681,124987,1904,34800756.00,37753,30.21,3.75,-1.15
28-September-2012,277.00,281.00,277.00,280.40,279.542503370055315390,172104,2485,48110383.00,59911,34.81,4.00,3.40
27-September-2012,282.00,283.50,274.80,275.50,277.184146637961106550,283801,4281,78665138.00,132512,46.69,8.70,-6.50
26-September-2012,282.00,283.85,280.65,281.05,281.274346070249595073,599491,1790,168621439.00,507651,84.68,3.20,-0.95
25-September-2012,288.00,289.90,282.70,283.95,284.518972219972462946,148164,2454,42155469.00,38658,26.09,7.20,-4.05
24-September-2012,295.70,295.70,286.50,287.30,291.267715527940773799,390773,3900,113819559.00,71297,18.25,9.20,-8.40
21-September-2012,285.75,296.20,283.60,293.35,291.694075348752520405,670031,8370,195444073.00,253387,37.82,12.60,7.60
20-September-2012,278.00,286.15,278.00,284.70,283.716186086429422373,333243,2667,94546433.00,238522,71.58,8.15,6.70
18-September-2012,281.35,283.50,279.55,281.30,281.267812621634984588,95059,1769,26737037.00,28646,30.13,3.95,-0.05
17-September-2012,282.70,286.00,279.65,280.75,281.733227670331434074,199376,2931,56170844.00,88027,44.15,6.35,-1.95
14-September-2012,291.40,294.15,280.65,282.00,286.803931325411942938,315517,5169,90491516.00,100850,31.96,13.50,-9.40
13-September-2012,279.65,285.90,279.65,283.05,283.838033709661943902,156335,4020,44373819.00,60097,38.44,6.25,3.40
