Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2012,2370.00,2395.90,2367.55,2383.75,2385.123691804592286993,184701,8397,440534731.00,23137,12.53,28.35,13.75
28-December-2012,2380.00,2398.90,2368.20,2377.75,2378.945749530314725543,205989,9828,490036656.00,11734,5.70,30.70,-2.25
27-December-2012,2368.60,2396.15,2365.50,2388.80,2384.403527763011646450,310395,14904,740106933.00,48988,15.78,30.65,20.20
26-December-2012,2333.50,2379.00,2324.00,2371.20,2360.855099719501442449,375403,14501,886272087.00,76561,20.39,55.00,37.70
24-December-2012,2344.00,2358.85,2324.25,2328.30,2336.813838543500872228,244202,10639,570654613.00,33646,13.78,34.60,-15.70
21-December-2012,2355.00,2376.00,2328.00,2333.70,2353.603017411487702258,298998,14921,703722595.00,26173,8.75,48.00,-21.30
20-December-2012,2366.20,2398.30,2342.00,2380.10,2372.474472395381540169,371206,16637,880676759.00,39485,10.64,56.30,13.90
19-December-2012,2382.20,2407.65,2360.00,2368.90,2381.629084529887341776,317509,17021,756188669.00,53201,16.76,47.65,-13.30
18-December-2012,2350.00,2378.80,2281.00,2371.40,2342.170052098094889645,970285,43930,2272572469.00,109121,11.25,97.80,21.40
17-December-2012,2318.00,2348.40,2311.90,2343.50,2336.754142630885023508,361787,16022,845407271.00,79169,21.88,36.50,25.50
14-December-2012,2265.00,2328.00,2253.75,2320.15,2298.185543359724795857,451156,22234,1036840197.00,77281,17.13,74.25,55.15
13-December-2012,2310.00,2324.00,2255.40,2261.80,2294.103990556347636787,326145,15429,748210546.00,23210,7.12,68.60,-48.20
12-December-2012,2313.80,2319.85,2285.25,2294.75,2301.132631678021044122,361241,16426,831263453.00,68657,19.01,34.60,-19.05
11-December-2012,2327.25,2338.40,2282.55,2303.65,2310.515733437459325784,384150,17743,887584619.00,36605,9.53,55.85,-23.60
10-December-2012,2320.00,2326.00,2301.25,2319.50,2315.298245614035087719,246468,12055,570646928.00,40988,16.63,24.75,-0.50
7-December-2012,2315.35,2338.00,2298.00,2310.85,2318.895846805698070791,490201,22223,1136725063.00,56860,11.60,40.00,-4.50
6-December-2012,2281.00,2320.00,2242.05,2307.25,2279.083961755715455282,486138,23009,1107949319.00,70878,14.58,77.95,26.25
5-December-2012,2246.00,2282.00,2245.30,2269.20,2267.624078406213243827,383439,18445,869495509.00,84839,22.13,36.70,23.20
4-December-2012,2205.30,2248.00,2205.00,2238.25,2230.983141715788960880,410540,19573,915907819.00,58158,14.17,43.00,32.95
3-December-2012,2180.00,2212.00,2171.00,2203.30,2195.540733737564733083,330009,16194,724548202.00,37884,11.48,41.00,23.30
30-November-2012,2149.90,2186.60,2145.50,2170.05,2167.579992855661887953,400317,20567,867719120.00,69982,17.48,41.10,20.15
29-November-2012,2125.00,2142.00,2107.50,2132.05,2127.889975752871675970,301479,13839,641514142.00,51864,17.20,34.50,7.05
27-November-2012,2100.00,2123.00,2095.10,2112.20,2110.817649535367213982,230397,11782,486326054.00,27203,11.81,27.90,12.20
26-November-2012,2103.50,2109.00,2080.25,2090.90,2094.264460362010236849,276843,13245,579782456.00,24948,9.01,28.75,-12.60
23-November-2012,2110.00,2111.50,2075.10,2089.70,2091.613651809616188431,313409,14514,655530543.00,31832,10.16,36.40,-20.30
22-November-2012,2070.80,2113.75,2070.00,2099.65,2096.490105303381024815,408249,20025,855889989.00,49129,12.03,43.75,28.85
21-November-2012,2072.80,2075.00,2044.00,2060.70,2059.509019195772513724,393993,21105,811432137.00,46160,11.72,31.00,-12.10
