Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2012,1260.00,1266.00,1254.30,1258.55,1258.564348233260094370,27763,1594,34941522.00,9844,35.46,11.70,-1.45
28-December-2012,1255.90,1268.65,1250.85,1265.30,1261.505055556763573898,45989,2464,58015356.00,21160,46.01,17.80,9.40
27-December-2012,1264.00,1264.00,1248.00,1250.15,1254.446571849926262903,40007,1894,50186644.00,20430,51.07,16.00,-13.85
26-December-2012,1270.00,1270.00,1255.35,1260.00,1261.375726759777734869,46611,2240,58793984.00,18005,38.63,14.65,-10.00
24-December-2012,1259.90,1271.25,1259.90,1263.20,1265.673218374007501583,41058,2391,51966011.00,16334,39.78,11.35,3.30
21-December-2012,1250.00,1264.50,1236.60,1258.10,1255.585421194931877219,94315,5097,118420539.00,39682,42.07,27.90,8.10
20-December-2012,1232.00,1251.80,1230.15,1248.40,1242.385498239591033817,79811,3910,99156029.00,31954,40.04,21.65,16.40
19-December-2012,1215.75,1236.80,1215.75,1232.80,1230.721394520578248222,90411,4569,111270752.00,38623,42.72,21.05,17.05
18-December-2012,1209.75,1223.75,1197.60,1210.90,1206.421139967853401097,153671,6132,185391943.00,44341,28.85,26.15,1.15
17-December-2012,1241.00,1250.00,1203.00,1205.85,1222.754292919284199678,403688,8359,493611235.00,142079,35.20,47.00,-35.15
14-December-2012,1218.00,1243.65,1218.00,1240.95,1236.806220359545604940,63469,3380,78498854.00,20278,31.95,25.65,22.95
13-December-2012,1238.00,1238.00,1216.55,1222.90,1226.436380446088061943,69224,3356,84898832.00,32554,47.03,21.45,-15.10
12-December-2012,1223.45,1240.75,1221.50,1226.00,1230.974307018965796725,86366,3856,106314327.00,42469,49.17,19.25,2.55
11-December-2012,1239.00,1243.00,1212.20,1220.50,1228.259298808892456318,139534,6201,171383933.00,63700,45.65,30.80,-18.50
10-December-2012,1263.00,1268.00,1232.70,1236.30,1244.784886897305291738,181207,8422,225563735.00,77303,42.66,35.30,-26.70
7-December-2012,1275.00,1281.80,1257.00,1267.95,1269.417817015267488027,390896,5481,496210347.00,72944,18.66,24.80,-7.05
6-December-2012,1298.00,1298.05,1268.90,1282.40,1277.230132524206862701,89644,4995,114496018.00,35447,39.54,29.15,-15.60
5-December-2012,1297.00,1307.75,1288.55,1297.15,1296.907343968242299492,68015,2036,88209153.00,41388,60.85,19.20,0.15
4-December-2012,1316.95,1322.00,1295.05,1298.45,1300.609707267617202037,77921,2322,101344809.00,50037,64.22,26.95,-18.50
3-December-2012,1315.00,1321.90,1305.00,1314.85,1312.164559132900393304,174928,4111,229534322.00,119921,68.55,16.90,-0.15
30-November-2012,1301.00,1324.90,1293.25,1312.85,1305.486352908985189998,116948,5326,152674018.00,60116,51.40,31.65,11.85
29-November-2012,1309.00,1320.00,1291.30,1298.05,1299.610767543066555760,82953,3531,107806612.00,28448,34.29,28.70,-10.95
27-November-2012,1300.00,1300.00,1289.35,1295.10,1296.010629336970037302,24931,1265,32310841.00,10305,41.33,10.65,-4.90
26-November-2012,1288.10,1295.00,1286.85,1292.10,1291.419978338748646171,24006,1420,31001828.00,8157,33.98,8.15,4.00
23-November-2012,1279.00,1291.25,1272.55,1288.10,1282.143985870979736010,43032,2176,55173220.00,9062,21.06,18.70,9.10
22-November-2012,1289.00,1289.00,1271.05,1278.10,1276.883517320137038446,42032,2388,53669968.00,11999,28.55,17.95,-10.90
21-November-2012,1280.00,1294.00,1276.25,1281.55,1283.107526684180552238,54433,2128,69843392.00,22331,41.02,17.75,1.55
20-November-2012,1270.30,1282.00,1257.15,1273.80,1268.575700527129325036,50462,2433,64014867.00,11333,22.46,24.85,3.50
19-November-2012,1290.00,1292.75,1259.00,1261.50,1271.418855757115955184,73813,3684,93847240.00,41077,55.65,33.75,-28.50
16-November-2012,1295.00,1306.40,1280.30,1285.95,1294.148885887913571910,47392,2889,61332304.00,14562,30.73,26.10,-9.05
15-November-2012,1320.00,1323.00,1288.00,1295.55,1301.158099668121357827,38267,2390,49791417.00,13363,34.92,35.00,-24.45
13-November-2012,1337.80,1339.80,1320.05,1325.05,1326.787784090909090909,21120,1149,28021758.00,10957,51.88,19.75,-12.75
12-November-2012,1324.90,1348.00,1316.00,1334.25,1337.376743406635901930,77578,3123,103751013.00,43823,56.49,32.00,9.35
9-November-2012,1330.00,1332.55,1320.20,1325.50,1327.715210549083369382,67039,1472,89008700.00,46583,69.49,12.35,-4.50
8-November-2012,1320.00,1334.50,1316.00,1330.25,1326.930941569781947008,40082,1675,53186046.00,11072,27.62,18.50,10.25
7-November-2012,1323.00,1332.75,1322.00,1328.80,1328.479803792095085369,53005,2216,70416072.00,21439,40.45,10.75,5.80
6-November-2012,1329.10,1336.50,1319.25,1321.00,1326.063408190224570673,40878,2283,54206820.00,15945,39.01,17.25,-8.10
5-November-2012,1332.00,1342.60,1325.25,1328.75,1333.963891822128358559,68184,3532,90954994.00,13438,19.71,17.35,-3.25
2-November-2012,1320.00,1337.80,1315.00,1331.15,1332.465020903314715801,150933,3954,201112943.00,106509,70.57,22.80,11.15
1-November-2012,1315.00,1319.00,1310.50,1313.20,1314.156513330570520790,21717,1409,28539537.00,8041,37.03,8.50,-1.80
31-October-2012,1310.00,1315.60,1303.55,1313.40,1310.804641975308641975,30375,2295,39815691.00,9769,32.16,12.05,3.40
30-October-2012,1307.55,1321.00,1304.00,1309.20,1312.821559444259371754,51031,2259,66994597.00,17617,34.52,17.00,1.65
29-October-2012,1315.00,1319.75,1302.15,1307.55,1309.596162316925448739,36324,1821,47569771.00,10645,29.31,17.60,-7.45
26-October-2012,1305.00,1321.50,1305.00,1313.60,1314.062185408240758729,56621,2474,74403515.00,12010,21.21,16.50,8.60
25-October-2012,1314.15,1323.80,1304.00,1315.90,1315.468853242608707877,71131,3225,93570615.00,26563,37.34,19.80,1.75
23-October-2012,1323.00,1323.45,1311.00,1313.30,1315.909147776844947075,60747,2612,79937533.00,14552,23.96,12.45,-9.70
22-October-2012,1326.00,1334.90,1303.00,1319.50,1320.954381756862147014,288503,11721,381099302.00,50802,17.61,31.90,-6.50
19-October-2012,1310.00,1313.85,1281.05,1290.30,1294.724299991362622511,196819,7148,254826342.00,78035,39.65,32.80,-19.70
18-October-2012,1282.25,1309.00,1280.75,1305.20,1295.642098142098142098,60606,3067,78523685.00,18577,30.65,28.25,22.95
17-October-2012,1303.00,1304.85,1272.90,1281.45,1283.736639576083185263,95113,5789,122100043.00,35804,37.64,31.95,-21.55
16-October-2012,1301.00,1309.00,1290.00,1295.10,1300.975811077379370164,71479,2943,92992450.00,26969,37.73,19.00,-5.90
15-October-2012,1295.00,1305.00,1286.25,1291.00,1293.349104434193575198,48126,2157,62243719.00,17051,35.43,18.75,-4.00
12-October-2012,1279.00,1312.15,1274.00,1298.15,1294.835798939035961968,157027,7146,203324181.00,24296,15.47,38.15,19.15
11-October-2012,1287.00,1301.75,1286.35,1289.65,1294.081914605116461264,66374,3186,85893393.00,15089,22.73,15.40,2.65
