Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,130.00,131.90,128.60,130.50,4011100,130.50
2012-12-28,129.20,131.50,128.10,129.40,6972100,129.40
2012-12-27,129.50,130.75,127.35,128.10,7958100,128.10
2012-12-26,129.50,131.65,128.55,128.90,6868000,128.90
2012-12-25,129.10,129.10,129.10,129.10,000,129.10
2012-12-24,129.00,131.40,127.85,129.10,8002700,129.10
2012-12-21,131.35,133.25,128.25,129.30,12702900,129.30
2012-12-20,128.30,133.70,127.10,132.70,16367300,132.70
2012-12-19,127.00,130.45,127.00,129.65,9930200,129.65
2012-12-18,124.40,128.45,122.10,127.45,13664300,127.45
2012-12-17,120.25,124.50,120.15,124.20,10267500,124.20
2012-12-14,116.00,120.40,115.05,119.95,6224100,119.95
2012-12-13,118.80,119.60,115.35,115.80,4333600,115.80
2012-12-12,120.35,121.20,117.80,118.40,4692400,118.40
2012-12-11,123.25,123.90,118.10,119.85,8284700,119.85
2012-12-10,123.80,124.40,121.65,123.05,3364500,123.05
2012-12-07,123.50,124.50,122.35,123.80,6208900,123.80
2012-12-06,122.00,123.50,118.30,122.90,5533400,122.90
2012-12-05,118.20,121.60,117.85,121.15,7360600,121.15
2012-12-04,117.10,117.55,116.10,117.10,2300700,117.10
2012-12-03,116.90,118.45,115.60,117.80,5303700,117.80
2012-11-30,113.65,116.95,113.65,116.60,6819400,116.60
2012-11-29,112.65,114.20,112.50,113.10,5365500,113.10
2012-11-28,112.50,112.50,112.50,112.50,000,112.50
2012-11-27,109.90,112.95,109.90,112.50,6361400,112.50
2012-11-26,108.15,110.55,107.75,109.80,4734700,109.80
2012-11-23,107.55,108.70,107.20,107.90,2959600,107.90
2012-11-22,107.50,108.85,106.05,108.30,4007600,108.30
2012-11-21,106.00,107.70,105.50,107.00,3634100,107.00
2012-11-20,108.50,109.00,104.80,105.60,5767800,105.60
2012-11-19,109.00,109.35,107.05,107.55,5021600,107.55
2012-11-16,111.20,112.05,108.55,108.90,7866600,108.90
2012-11-15,112.00,112.85,110.00,111.20,4496700,111.20
2012-11-14,112.85,112.85,112.85,112.85,000,112.85
2012-11-13,112.85,112.85,112.85,112.85,000,112.85
2012-11-12,114.00,114.20,112.30,112.85,2113600,112.85
2012-11-09,114.55,115.80,113.00,113.30,4486900,113.30
2012-11-08,112.00,114.25,111.55,113.80,3995500,113.80
2012-11-07,112.00,114.70,111.80,113.75,5776200,113.75
2012-11-06,114.10,114.25,111.55,112.45,11028200,112.45
2012-11-05,117.50,117.55,114.00,114.50,4781400,114.50
2012-11-02,117.25,118.80,116.05,117.70,6480300,117.70
2012-11-01,116.85,116.90,114.60,116.25,3799800,116.25
2012-10-31,110.20,116.90,110.20,116.55,7009400,116.55
2012-10-30,113.30,114.15,110.45,110.90,3900800,110.90
2012-10-29,113.00,114.95,113.00,113.55,2159500,113.55
2012-10-26,113.75,113.75,113.75,113.75,000,113.75
2012-10-25,113.45,114.75,112.95,113.75,4475300,113.75
2012-10-24,113.35,113.35,113.35,113.35,000,113.35
2012-10-23,114.25,115.60,112.95,113.35,3463600,113.35
2012-10-22,114.20,115.85,113.20,115.15,4040400,115.15
2012-10-19,117.05,117.90,114.45,114.90,4589200,114.90
2012-10-18,117.40,118.85,116.65,117.75,4001400,117.75
2012-10-17,118.00,118.65,116.05,116.75,3714100,116.75
2012-10-16,120.75,120.75,116.70,117.20,4351500,117.20
2012-10-15,117.00,120.50,117.00,120.10,5231500,120.10
2012-10-12,118.30,119.95,117.20,118.05,5461500,118.05
2012-10-11,117.10,118.60,115.20,118.05,7402400,118.05
2012-10-10,117.45,119.60,115.85,116.00,8642900,116.00
2012-10-09,121.50,122.55,117.85,118.65,6554300,118.65
2012-10-08,124.15,124.50,119.50,120.50,7916000,120.50
2012-10-05,125.00,126.50,100.00,125.00,10894700,125.00
2012-10-04,125.00,126.25,123.50,123.95,6416000,123.95
2012-10-03,123.10,125.35,121.75,124.70,8320500,124.70
2012-10-02,122.85,122.85,122.85,122.85,000,122.85
2012-10-01,120.50,123.45,119.00,122.85,7661700,122.85
2012-09-28,118.00,121.90,117.65,120.70,10678400,120.70
2012-09-27,116.70,118.10,116.00,116.50,8628600,116.50
2012-09-26,118.75,118.75,116.25,116.65,6688400,116.65
2012-09-25,120.95,120.95,117.75,119.55,5080400,119.55
2012-09-24,118.10,121.90,117.25,119.10,10605000,119.10
2012-09-21,115.25,118.95,114.65,118.20,18383300,118.20
2012-09-20,113.20,116.20,112.50,113.65,7415900,113.65
2012-09-19,114.55,114.55,114.55,114.55,000,114.55
2012-09-18,116.00,116.20,113.70,114.55,8128700,114.55
2012-09-17,119.80,121.15,115.30,117.15,14687600,117.15
2012-09-14,115.00,119.10,114.60,118.35,18890200,118.35
2012-09-13,109.50,110.15,108.20,109.55,4083000,109.55
2012-09-12,109.65,110.40,106.70,109.10,6933200,109.10
2012-09-11,107.00,109.70,106.50,109.30,5343500,109.30
2012-09-10,106.50,109.45,106.50,108.30,7508200,108.30
2012-09-07,104.25,105.50,103.60,105.15,4982300,105.15
2012-09-06,100.05,103.15,100.00,101.75,8040600,101.75
2012-09-05,103.00,104.65,100.10,100.85,8606200,100.85
2012-09-04,103.50,104.35,102.30,103.65,4601200,103.65
2012-09-03,105.40,106.00,103.25,103.80,3953800,103.80
2012-08-31,105.00,105.75,102.30,103.85,6878700,103.85
2012-08-30,103.00,107.20,102.35,106.10,8219100,104.55
2012-08-29,106.75,108.50,103.35,103.80,7577000,102.28
2012-08-28,109.95,110.50,105.15,106.70,7265300,105.14
2012-08-27,111.40,111.75,109.55,110.10,4209000,108.49
2012-08-24,112.60,112.80,110.60,111.00,6035900,109.38
2012-08-23,113.15,115.15,112.40,113.10,5684900,111.45
2012-08-22,112.00,114.70,111.70,112.75,5910800,111.10
2012-08-21,113.00,113.00,110.20,112.35,11667100,110.71
2012-08-20,113.70,113.70,113.70,113.70,000,112.04
2012-08-17,116.80,117.15,113.00,113.70,10128800,112.04
2012-08-16,118.65,119.75,116.30,116.70,6897200,115.00
2012-08-15,120.10,120.10,120.10,120.10,000,118.35
2012-08-14,120.70,122.75,119.25,120.10,6787100,118.35
2012-08-13,124.75,124.75,119.50,121.40,4484200,119.63
2012-08-10,121.80,124.00,121.10,122.95,4138500,121.15
2012-08-09,122.00,122.95,121.05,121.85,4434900,120.07
2012-08-08,119.10,123.20,119.10,121.40,8688100,119.63
2012-08-07,119.20,119.90,118.25,118.80,3303000,117.06
2012-08-06,118.50,119.10,117.65,118.15,2260000,116.42
2012-08-03,118.20,118.20,115.45,116.70,3327000,115.00
2012-08-02,118.50,120.35,117.95,119.15,2420800,117.41
2012-08-01,120.00,120.80,118.35,119.20,3328900,117.46
2012-07-31,119.35,121.25,115.65,120.10,6091700,118.35
2012-07-30,118.90,118.95,116.40,118.50,3109300,116.77
2012-07-27,116.95,118.85,116.00,117.50,5402100,115.78
2012-07-26,115.00,121.05,113.00,114.40,10352000,112.73
2012-07-25,116.30,116.70,113.85,114.15,3823400,112.48
2012-07-24,116.10,117.80,115.25,117.05,3802900,115.34
2012-07-23,120.60,120.65,115.75,116.40,4016200,114.70
2012-07-20,121.25,123.90,120.55,122.20,4919900,120.41
2012-07-19,122.40,123.30,121.30,122.45,3942700,120.66
2012-07-18,119.85,120.90,118.25,120.45,3750900,118.69
2012-07-17,119.30,120.50,118.95,119.85,3652700,118.10
2012-07-16,121.40,121.45,117.95,118.25,6498200,116.52
2012-07-13,124.40,124.40,119.95,120.40,6239200,118.64
2012-07-12,122.70,124.60,121.45,123.10,7363200,121.30
2012-07-11,127.00,127.00,123.35,123.85,6043000,122.04
2012-07-10,125.00,127.90,124.55,127.65,5849300,125.79
2012-07-09,120.80,125.75,120.80,124.25,5764500,122.43
2012-07-06,125.50,125.60,122.60,124.05,4166700,122.24
2012-07-05,125.50,126.70,124.40,125.45,6014100,123.62
2012-07-04,124.70,126.00,124.35,125.45,10562700,123.62
2012-07-03,121.55,124.40,121.55,123.80,7911700,121.99
2012-07-02,120.30,122.80,119.05,121.00,6395600,119.23
2012-06-29,116.90,120.40,116.50,119.90,7911400,118.15
2012-06-28,117.50,118.25,114.60,115.15,5390600,113.47
2012-06-27,116.30,117.55,115.75,117.00,4486400,115.29
2012-06-26,113.70,115.95,113.35,115.20,6844400,113.52
2012-06-25,118.25,118.45,113.85,114.75,9237100,113.07
2012-06-22,120.00,120.65,115.90,117.30,9080800,115.59
2012-06-21,121.30,122.20,119.80,121.35,5893500,119.58
2012-06-20,123.50,123.80,119.80,122.35,5765700,120.56
2012-06-19,121.70,123.60,121.00,122.65,2931300,120.86
2012-06-18,125.20,127.00,120.55,122.30,8104900,120.51
2012-06-15,121.00,124.45,120.40,123.80,7665400,121.99
2012-06-14,122.40,123.25,119.70,120.25,5443500,118.49
2012-06-13,123.30,124.15,121.15,122.60,4461100,120.81
2012-06-12,119.90,123.60,119.10,123.15,7437500,121.35
2012-06-11,122.50,123.20,120.00,120.50,6666700,118.74
2012-06-08,120.00,121.25,118.30,120.40,6647400,118.64
2012-06-07,122.65,122.65,118.75,120.00,7789000,118.25
2012-06-06,118.60,120.90,118.00,120.45,6557800,118.69
2012-06-05,116.35,119.10,116.35,117.30,6902100,115.59
2012-06-04,115.00,116.60,112.70,115.35,6080600,113.66
2012-06-01,115.60,118.90,115.60,116.55,9868100,114.85
2012-05-31,117.00,120.15,115.45,116.65,33911100,114.95
2012-05-30,115.05,115.85,112.80,114.45,7722400,112.78
2012-05-29,115.90,115.90,113.40,114.55,9242800,112.88
2012-05-28,111.90,115.65,111.90,114.95,7015700,113.27
2012-05-25,109.00,112.95,108.35,111.90,8126700,110.27
2012-05-24,109.00,111.40,107.30,110.60,7148600,108.98
2012-05-23,106.00,108.40,105.40,107.55,6027800,105.98
2012-05-22,111.35,112.40,106.75,107.05,8693600,105.49
2012-05-21,108.00,111.25,108.00,110.40,8130000,108.79
2012-05-18,106.00,109.15,105.85,107.95,11582300,106.37
2012-05-17,111.45,112.70,107.90,108.85,11656000,107.26
2012-05-16,111.55,112.60,109.50,110.30,10160300,108.69
2012-05-15,111.00,115.05,110.50,114.35,7262700,112.68
2012-05-14,114.20,115.50,110.30,111.80,7714500,110.17
2012-05-11,116.00,117.30,112.65,113.15,9608900,111.50
2012-05-10,119.20,120.80,116.50,117.50,6056300,115.78
2012-05-09,115.80,121.10,113.55,118.80,14630300,117.06
2012-05-08,115.90,119.50,113.40,117.75,15845500,116.03
2012-05-07,114.00,116.50,112.40,115.65,9551800,113.96
2012-05-04,118.75,118.80,114.35,115.90,9708600,114.21
2012-05-03,119.00,120.20,117.80,118.80,4872300,117.06
2012-05-02,120.15,121.90,119.70,120.10,4088400,118.35
2012-05-01,120.50,120.50,120.50,120.50,000,118.74
2012-04-30,119.50,122.00,119.25,120.75,5195400,118.99
2012-04-27,116.95,119.50,116.25,118.80,4927300,117.06
2012-04-26,120.65,121.15,115.55,116.25,10257700,114.55
2012-04-25,120.15,122.20,118.05,119.70,5695600,117.95
2012-04-24,119.50,122.25,119.00,120.65,7726900,118.89
2012-04-23,125.20,125.70,118.45,118.80,11093200,117.06
2012-04-20,126.35,128.35,123.90,125.00,9692800,123.17
2012-04-19,131.00,131.35,127.50,128.10,6651900,126.23
2012-04-18,129.00,132.20,129.00,130.75,8996700,128.84
2012-04-17,124.00,128.40,123.75,128.00,6034000,126.13
2012-04-16,124.00,124.55,122.55,124.10,6208900,122.29
2012-04-13,129.80,129.85,124.35,124.85,8909400,123.03
2012-04-12,126.00,128.45,125.55,128.00,9351900,126.13
2012-04-11,124.00,125.90,122.40,123.85,12603300,122.04
2012-04-10,127.00,128.00,123.25,124.95,11771500,123.12
2012-04-09,131.85,131.85,125.55,126.00,7332300,124.16
2012-04-06,133.10,133.10,133.10,133.10,000,131.16
2012-04-05,133.10,133.10,133.10,133.10,000,131.16
2012-04-04,131.00,133.65,130.15,133.10,8419900,131.16
2012-04-03,129.00,132.50,128.90,131.90,9437200,129.97
2012-04-02,130.00,130.65,126.75,127.30,8610100,125.44
2012-03-30,126.65,130.80,125.70,129.40,12304800,127.51
2012-03-29,124.50,125.50,122.65,124.80,14227500,122.98
2012-03-28,128.35,128.35,125.20,125.60,10482600,123.77
2012-03-27,131.00,131.90,127.20,129.10,14315000,127.21
2012-03-26,131.50,132.30,126.30,128.00,9766600,126.13
2012-03-23,132.00,135.50,129.05,131.40,12562800,129.48
2012-03-22,137.50,138.90,132.25,132.95,11223300,131.01
2012-03-21,137.80,137.90,134.20,136.85,16148800,134.85
2012-03-20,140.50,143.35,137.30,138.30,7915800,136.28
2012-03-19,139.70,142.80,138.90,141.15,6855200,139.09
2012-03-16,141.95,144.75,138.20,140.85,7907100,138.79
2012-03-15,142.80,143.90,140.25,141.70,9197900,139.63
2012-03-14,143.95,144.90,142.25,144.10,10073200,141.99
2012-03-13,138.90,142.50,138.15,141.45,9741100,139.38
2012-03-12,137.00,138.15,132.50,137.50,9779400,135.49
2012-03-09,134.50,136.10,132.20,134.60,16564800,132.63
2012-03-08,150.35,150.35,150.35,150.35,000,148.15
2012-03-07,130.25,133.80,128.15,131.30,17558300,129.38
2012-03-06,138.55,141.75,130.50,131.75,21814300,129.83
2012-03-05,146.10,146.80,139.50,139.90,8965600,137.86
2012-03-02,151.70,155.95,146.70,147.75,14778800,145.59
2012-03-01,147.30,152.30,143.60,150.35,12157500,148.15
2012-02-29,148.95,151.55,145.00,148.90,8380400,146.72
2012-02-28,141.00,148.80,141.00,146.60,7666100,144.46
2012-02-27,148.00,148.35,138.60,139.95,7451700,137.91
2012-02-24,147.50,151.30,146.10,148.05,8009200,145.89
2012-02-23,148.70,150.55,144.10,146.85,13334600,144.70
2012-02-22,156.00,157.50,146.55,148.20,11207500,146.03
2012-02-21,152.15,156.80,152.00,155.60,11441800,153.33
2012-02-20,150.95,150.95,150.95,150.95,000,148.74
