Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,844.10,875.40,844.10,871.30,2147800,871.30
2012-12-28,847.00,851.00,839.00,842.70,355300,842.70
2012-12-27,845.00,852.35,841.00,844.10,788400,844.10
2012-12-26,835.00,848.40,830.10,842.50,516300,842.50
2012-12-25,833.50,833.50,833.50,833.50,000,833.50
2012-12-24,834.00,840.90,825.10,833.50,405000,833.50
2012-12-21,848.00,848.90,828.00,831.70,477300,831.70
2012-12-20,851.05,858.40,840.10,851.20,568400,851.20
2012-12-19,850.00,862.00,842.75,851.05,835800,851.05
2012-12-18,845.00,849.00,818.95,844.25,874400,844.25
2012-12-17,835.00,841.50,833.95,837.45,398900,837.45
2012-12-14,809.50,836.45,806.50,830.40,907600,830.40
2012-12-13,836.80,844.50,815.90,819.75,527300,819.75
2012-12-12,832.00,839.95,821.25,825.40,414300,825.40
2012-12-11,843.90,851.90,818.50,829.60,737300,829.60
2012-12-10,822.00,842.85,815.20,839.70,549000,839.70
2012-12-07,829.00,831.85,817.00,821.05,484900,821.05
2012-12-06,820.00,826.00,802.05,823.00,633000,823.00
2012-12-05,795.00,821.00,794.00,814.20,737200,814.20
2012-12-04,783.00,790.90,778.50,787.30,338800,787.30
2012-12-03,787.00,792.35,777.05,783.05,260200,783.05
2012-11-30,770.25,786.90,769.10,784.90,494200,784.90
2012-11-29,755.50,772.00,755.00,766.75,380900,766.75
2012-11-28,754.45,754.45,754.45,754.45,000,754.45
2012-11-27,742.95,757.80,737.10,754.45,513800,754.45
2012-11-26,732.30,744.00,732.00,740.10,268800,740.10
2012-11-23,735.00,738.50,728.45,734.45,288200,734.45
2012-11-22,729.00,739.45,729.00,733.75,364200,733.75
2012-11-21,732.00,737.80,725.00,727.65,523200,727.65
2012-11-20,742.65,746.85,727.85,730.45,419300,730.45
2012-11-19,745.00,749.95,736.40,743.95,305800,743.95
2012-11-16,759.00,768.65,740.35,742.90,379800,742.90
2012-11-15,765.00,768.50,758.15,763.25,230500,763.25
2012-11-14,771.90,771.90,771.90,771.90,000,771.90
2012-11-13,771.90,771.90,771.90,771.90,000,771.90
2012-11-12,771.55,776.00,765.15,771.90,255300,771.90
2012-11-09,778.00,785.60,762.00,769.30,465800,769.30
2012-11-08,765.20,782.90,763.65,778.10,500300,778.10
2012-11-07,754.00,783.50,754.00,775.70,821500,775.70
2012-11-06,748.20,762.90,748.20,757.50,423200,757.50
2012-11-05,756.50,759.70,750.50,755.15,363800,755.15
2012-11-02,757.70,763.00,748.65,755.55,655100,755.55
2012-11-01,738.00,754.00,732.60,751.65,726200,751.65
2012-10-31,724.50,743.00,716.95,738.40,1003500,738.40
2012-10-30,755.00,769.00,725.00,728.85,1948700,728.85
2012-10-29,751.60,763.00,743.00,755.35,932400,755.35
2012-10-26,803.85,803.85,803.85,803.85,000,803.85
2012-10-25,816.10,822.45,798.75,803.85,570700,803.85
2012-10-24,818.55,818.55,818.55,818.55,000,818.55
2012-10-23,816.00,827.70,816.00,818.55,287100,818.55
2012-10-22,813.20,824.75,812.40,820.30,304300,820.30
2012-10-19,832.00,835.80,818.50,822.80,418400,822.80
2012-10-18,818.10,834.40,812.05,831.60,616300,831.60
2012-10-17,814.00,822.00,808.50,813.30,451900,813.30
2012-10-16,823.50,828.00,802.00,805.15,285300,805.15
2012-10-15,820.00,826.30,809.30,820.20,294900,820.20
2012-10-12,824.80,838.30,817.60,820.30,1247600,820.30
2012-10-11,801.00,825.00,790.95,821.35,1077700,821.35
2012-10-10,790.00,803.00,785.65,797.05,1063600,797.05
2012-10-09,801.00,809.00,786.65,792.10,811400,792.10
2012-10-08,819.50,821.00,793.35,796.40,595500,796.40
2012-10-05,840.00,841.00,779.30,819.10,914900,819.10
2012-10-04,831.10,840.00,829.90,832.60,810100,832.60
2012-10-03,837.00,840.50,823.00,827.90,544500,827.90
2012-10-02,831.70,831.70,831.70,831.70,000,831.70
2012-10-01,842.00,844.50,827.80,831.70,519500,831.70
2012-09-28,845.00,849.85,832.00,840.30,584800,840.30
2012-09-27,836.00,842.00,822.25,833.40,783900,833.40
2012-09-26,828.00,835.00,813.95,833.40,762400,833.40
2012-09-25,830.00,844.90,808.10,823.55,1702600,823.55
2012-09-24,846.40,857.70,818.55,821.20,1046700,821.20
2012-09-21,800.00,841.65,800.00,837.25,1626200,837.25
2012-09-20,792.00,817.70,775.50,795.40,1695900,795.40
2012-09-19,802.80,802.80,802.80,802.80,000,802.80
2012-09-18,751.00,807.85,747.95,802.80,2297600,802.80
2012-09-17,717.20,760.00,717.20,747.75,1554100,747.75
2012-09-14,692.50,710.80,692.50,709.05,1070800,709.05
2012-09-13,689.00,692.50,680.20,681.95,327400,681.95
2012-09-12,688.25,692.20,675.10,685.05,303700,685.05
2012-09-11,680.50,690.00,680.00,685.05,300500,685.05
2012-09-10,683.00,695.25,683.00,686.40,712800,686.40
2012-09-07,678.00,684.40,670.30,683.25,701800,683.25
2012-09-06,667.00,674.60,664.05,666.35,341700,666.35
2012-09-05,670.00,675.85,666.50,668.85,281200,668.85
2012-09-04,667.00,680.95,667.00,677.20,562900,677.20
2012-09-03,679.00,685.00,666.10,669.20,370700,669.20
2012-08-31,678.00,685.70,669.10,676.55,682500,676.55
2012-08-30,666.00,683.60,659.20,679.35,875700,679.35
2012-08-29,677.25,683.90,664.10,666.15,788200,666.15
2012-08-28,678.00,685.90,670.00,675.85,936200,675.85
2012-08-27,713.00,714.75,675.15,679.05,1127200,679.05
2012-08-24,715.70,715.70,709.00,711.15,304200,711.15
2012-08-23,715.00,720.60,711.50,716.75,405600,716.75
2012-08-22,716.00,722.95,708.35,709.55,949300,709.55
2012-08-21,725.50,731.80,718.95,719.80,477200,719.80
2012-08-20,727.35,727.35,727.35,727.35,000,727.35
2012-08-17,732.00,736.40,724.00,727.35,338300,727.35
2012-08-16,735.00,740.00,726.05,729.35,495300,729.35
2012-08-15,732.10,732.10,732.10,732.10,000,732.10
2012-08-14,715.60,734.80,715.60,732.10,535400,732.10
2012-08-13,721.30,729.95,715.10,719.15,482000,719.15
2012-08-10,728.00,736.75,718.60,721.30,496700,721.30
2012-08-09,748.00,748.25,726.20,731.70,394700,731.70
2012-08-08,756.90,759.45,738.00,741.40,420100,741.40
2012-08-07,744.00,756.90,737.35,752.20,708800,752.20
2012-08-06,752.00,755.20,740.50,743.95,749900,743.95
2012-08-03,724.00,743.30,715.10,740.50,1913900,740.50
2012-08-02,731.90,731.90,724.15,728.60,328100,728.60
2012-08-01,728.25,737.50,725.25,731.15,609200,731.15
