Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,427.60,431.75,427.05,428.50,1836800,428.50
2012-12-28,431.85,433.60,426.30,428.55,2833100,428.55
2012-12-27,433.00,436.85,430.00,430.75,4210500,430.75
2012-12-26,429.00,433.80,427.70,429.90,2434500,429.90
2012-12-25,428.60,428.60,428.60,428.60,000,428.60
2012-12-24,430.10,435.90,426.90,428.60,4990700,428.60
2012-12-21,428.30,436.50,424.95,430.70,5817300,430.70
2012-12-20,423.00,433.60,415.70,431.60,7697400,431.60
2012-12-19,417.90,424.90,416.05,424.10,8834700,424.10
2012-12-18,401.10,416.10,396.10,414.30,8339200,414.30
2012-12-17,398.50,402.40,395.35,399.05,3119300,399.05
2012-12-14,389.00,400.05,387.00,397.00,2634900,397.00
2012-12-13,396.60,397.65,387.20,388.65,3060700,388.65
2012-12-12,396.90,400.30,394.40,395.45,3133700,395.45
2012-12-11,402.65,402.90,392.70,396.10,3074400,396.10
2012-12-10,395.00,400.90,394.55,400.30,2595400,400.30
2012-12-07,402.50,403.95,392.10,394.25,3525500,394.25
2012-12-06,399.60,403.90,392.30,399.80,2605600,399.80
2012-12-05,394.60,399.90,392.65,398.20,3956100,398.20
2012-12-04,391.00,392.35,386.70,390.15,2417100,390.15
2012-12-03,388.00,393.45,387.00,390.70,3458000,390.70
2012-11-30,376.80,387.80,376.80,386.20,4819700,386.20
2012-11-29,377.00,381.75,375.70,376.80,3962200,376.80
2012-11-28,375.95,375.95,375.95,375.95,000,375.95
2012-11-27,375.00,378.90,373.35,375.95,3178400,375.95
2012-11-26,365.25,374.20,365.25,371.85,2884700,371.85
2012-11-23,366.75,368.35,361.25,364.85,2231500,364.85
2012-11-22,368.00,369.45,362.70,365.95,2956300,365.95
2012-11-21,362.70,366.60,360.05,364.75,2352000,364.75
2012-11-20,368.00,368.30,359.10,360.55,3219500,360.55
2012-11-19,370.00,373.65,362.10,363.50,3631000,363.50
2012-11-16,375.00,379.90,369.15,370.10,3120200,370.10
2012-11-15,384.90,384.90,374.10,375.40,3370500,375.40
2012-11-14,384.10,384.10,384.10,384.10,000,384.10
2012-11-13,384.10,384.10,384.10,384.10,000,384.10
2012-11-12,385.60,386.30,381.25,384.10,3787000,384.10
2012-11-09,404.20,408.75,385.50,390.55,5756700,390.55
2012-11-08,399.50,404.75,396.60,403.95,2267600,403.95
2012-11-07,396.60,404.90,396.60,401.95,2427500,401.95
2012-11-06,394.10,399.70,393.85,398.95,2429100,398.95
2012-11-05,399.10,399.75,395.50,397.65,1709300,397.65
2012-11-02,400.40,403.95,398.50,402.35,2575700,402.35
2012-11-01,393.00,399.90,392.00,397.45,2478000,397.45
2012-10-31,394.00,395.65,388.60,392.20,3827300,392.20
2012-10-30,402.05,403.70,392.50,393.05,2127600,393.05
2012-10-29,401.00,404.30,399.10,402.05,1878800,402.05
2012-10-26,398.80,398.80,398.80,398.80,000,398.80
2012-10-25,405.10,406.80,397.90,398.80,4391100,398.80
2012-10-24,404.40,404.40,404.40,404.40,000,404.40
2012-10-23,404.00,409.90,403.65,404.40,1683700,404.40
2012-10-22,405.20,410.40,403.10,407.85,2244300,407.85
2012-10-19,410.00,412.85,405.20,407.45,3094100,407.45
2012-10-18,409.40,412.50,405.80,411.75,4069300,411.75
2012-10-17,414.90,414.90,404.20,407.20,3170600,407.20
2012-10-16,421.80,422.85,407.15,409.10,2990800,409.10
2012-10-15,420.05,422.55,416.00,418.90,3103400,418.90
