



Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
31-Dec-2012, 677.00, 680.00, 674.00,         678.10, 678.60, 1276822, 8641.98
28-Dec-2012, 681.10, 683.00, 674.15,         676.20, 677.65, 1756066, 11896.88
27-Dec-2012, 684.00, 684.00, 676.70,         682.00, 680.10, 2464542, 16741.49
26-Dec-2012, 678.10, 684.85, 673.10,         680.00, 680.30, 1430804, 9730.35
24-Dec-2012, 680.00, 680.15, 671.80,         677.00, 676.10, 1370563, 9249.66
21-Dec-2012, 681.00, 682.00, 674.05,         676.15, 676.00, 2771561, 18757.51
20-Dec-2012, 686.00, 687.00, 680.25,         682.95, 683.40, 2565187, 17516.58
19-Dec-2012, 674.55, 689.25, 674.50,         687.70, 688.00, 4122253, 28183.48
18-Dec-2012, 677.95, 682.20, 669.75,         676.00, 675.95, 3343768, 22598.73
17-Dec-2012, 687.90, 687.90, 673.60,         677.70, 676.50, 3057553, 20751.38
14-Dec-2012, 690.05, 694.40, 685.35,         688.85, 688.75, 2093473, 14433.09
13-Dec-2012, 693.85, 696.00, 689.00,         690.55, 691.05, 1570808, 10886.28
12-Dec-2012, 691.25, 696.00, 688.50,         693.70, 693.85, 1934126, 13396.55
11-Dec-2012, 695.25, 699.00, 686.30,         690.75, 690.85, 3375138, 23399.65
10-Dec-2012, 690.00, 696.50, 689.65,         693.10, 693.00, 2081026, 14415.17
07-Dec-2012, 695.25, 698.00, 688.00,         691.60, 693.10, 1984158, 13712.75
06-Dec-2012, 695.80, 698.50, 680.80,         695.95, 694.75, 2726138, 18718.86
05-Dec-2012, 689.00, 695.00, 687.00,         693.00, 692.60, 2304965, 15972.63
04-Dec-2012, 684.10, 690.00, 681.05,         686.20, 685.15, 2169872, 14849.21
03-Dec-2012, 700.00, 701.15, 684.00,         686.75, 686.95, 2909085, 20025.97
30-Nov-2012, 701.00, 705.50, 689.60,         703.00, 703.95, 3909823, 27364.80
29-Nov-2012, 677.50, 703.75, 675.40,         702.30, 699.85, 6299863, 43625.73
27-Nov-2012, 664.90, 683.80, 664.90,         681.00, 680.50, 4125668, 27984.85
26-Nov-2012, 673.00, 673.70, 660.10,         660.75, 661.90, 1370384, 9088.14
23-Nov-2012, 669.50, 672.60, 659.05,         669.00, 669.75, 1312428, 8748.42
22-Nov-2012, 666.80, 671.15, 664.00,         670.00, 669.10, 2110241, 14107.31
21-Nov-2012, 655.15, 665.50, 649.70,         665.05, 663.70, 3232446, 21289.48
20-Nov-2012, 649.10, 655.90, 648.25,         655.15, 653.85, 2338347, 15259.52
19-Nov-2012, 639.75, 647.90, 639.45,         646.40, 646.75, 1446987, 9312.65
16-Nov-2012, 643.00, 648.60, 640.15,         641.50, 642.25, 3025706, 19518.45
15-Nov-2012, 647.00, 647.40, 639.00,         644.40, 646.25, 2360585, 15195.26
13-Nov-2012, 651.00, 651.90, 646.20,         647.50, 647.05, 104547, 677.37
12-Nov-2012, 637.25, 653.80, 637.25,         653.10, 651.30, 2414364, 15623.53
09-Nov-2012, 638.25, 643.00, 635.00,         639.00, 639.35, 1105194, 7068.05
08-Nov-2012, 636.50, 641.00, 635.50,         639.60, 639.00, 966950, 6175.36
07-Nov-2012, 639.75, 645.00, 636.90,         641.00, 640.05, 2050165, 13148.48
06-Nov-2012, 633.95, 641.20, 633.95,         641.20, 639.55, 1819521, 11616.37
05-Nov-2012, 632.00, 636.00, 630.75,         635.55, 635.00, 1005532, 6370.63
02-Nov-2012, 638.00, 638.00, 628.00,         632.00, 630.30, 1358193, 8568.16
01-Nov-2012, 632.75, 635.70, 627.50,         628.10, 628.60, 1764615, 11144.06
31-Oct-2012, 634.10, 635.90, 630.05,         631.40, 634.20, 1873242, 11862.73
30-Oct-2012, 637.05, 644.80, 630.60,         632.65, 633.65, 2208726, 14082.45
29-Oct-2012, 637.85, 642.50, 635.55,         640.50, 640.60, 1378082, 8820.65
26-Oct-2012, 636.65, 639.80, 631.00,         637.00, 637.15, 1670317, 10579.21
25-Oct-2012, 632.65, 641.00, 629.00,         641.00, 637.35, 4252835, 27019.75
23-Oct-2012, 639.05, 639.50, 632.50,         635.05, 634.10, 2083240, 13207.84
22-Oct-2012, 625.20, 640.00, 625.20,         639.90, 639.00, 2060351, 13095.73
19-Oct-2012, 632.00, 635.00, 627.00,         627.00, 628.50, 2263850, 14250.35
18-Oct-2012, 630.00, 637.90, 624.45,         635.95, 636.20, 1404615, 8887.06
17-Oct-2012, 632.00, 632.50, 626.50,         628.00, 628.10, 1608443, 10106.93
16-Oct-2012, 635.25, 635.50, 628.10,         629.05, 630.40, 1818459, 11464.47
15-Oct-2012, 632.40, 634.90, 622.60,         633.95, 634.15, 1893017, 11925.53
12-Oct-2012, 630.00, 635.00, 626.00,         629.20, 631.15, 3876602, 24424.00
11-Oct-2012, 621.15, 627.80, 618.45,         627.80, 624.85, 2453233, 15315.58
10-Oct-2012, 624.00, 624.00, 616.20,         617.70, 617.95, 1073754, 6645.34
09-Oct-2012, 624.95, 630.50, 622.00,         624.25, 625.75, 1077692, 6753.56
08-Oct-2012, 623.90, 623.90, 616.55,         621.50, 620.70, 2322668, 14415.69
