SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 01-Feb-2013, 68.80, 69.85, 70.50, 68.50, 68.55, 68.65, 69.22, 264315, 182.97, 111265, 42.10
3IINFOTECH, BE, 01-Feb-2013, 7.85, 8.00, 8.20, 7.65, 8.10, 8.00, 8.05, 751619, 60.53, -, -
3MINDIA, EQ, 01-Feb-2013, 3961.45, 4039.00, 4039.00, 3900.10, 3949.50, 3931.20, 3949.20, 2330, 92.02, 2318, 99.48
A2ZMES, EQ, 01-Feb-2013, 40.55, 40.95, 41.00, 39.40, 40.00, 39.70, 39.92, 235535, 94.01, 110623, 46.97
AANJANEYA, EQ, 01-Feb-2013, 747.80, 746.55, 766.80, 745.00, 758.00, 759.05, 753.74, 51003, 384.43, 36446, 71.46
AARTIDRUGS, BE, 01-Feb-2013, 226.50, 229.00, 230.50, 220.00, 223.50, 224.80, 226.39, 8421, 19.06, -, -
AARTIIND, EQ, 01-Feb-2013, 100.30, 100.50, 101.40, 100.05, 101.00, 100.35, 100.46, 13005, 13.06, 10625, 81.70
AARVEEDEN, EQ, 01-Feb-2013, 75.95, 75.00, 77.50, 74.00, 76.50, 76.55, 76.05, 3106, 2.36, 2821, 90.82
ABAN, EQ, 01-Feb-2013, 350.35, 351.20, 354.00, 346.00, 346.50, 347.20, 349.16, 197774, 690.56, 57862, 29.26
ABB, EQ, 01-Feb-2013, 649.10, 653.10, 657.50, 639.05, 640.00, 646.85, 651.98, 31348, 204.38, 15684, 50.03
ABBOTINDIA, EQ, 01-Feb-2013, 1448.00, 1434.00, 1460.00, 1430.00, 1430.00, 1432.25, 1437.98, 606, 8.71, 362, 59.74
ABCIL, EQ, 01-Feb-2013, 98.45, 97.00, 102.65, 96.45, 101.00, 101.95, 101.28, 24941, 25.26, 18626, 74.68
ABGSHIP, EQ, 01-Feb-2013, 381.30, 382.65, 399.80, 378.65, 396.00, 397.10, 395.80, 69960, 276.90, 30541, 43.65
ABHISHEK, EQ, 01-Feb-2013, 5.80, 5.95, 5.95, 5.95, 5.95, 5.95, 5.95, 51, 0.00, 51, 100.00
ABIRLANUVO, EQ, 01-Feb-2013, 1135.70, 1137.00, 1149.00, 1120.00, 1128.00, 1125.35, 1131.37, 78170, 884.39, 32892, 42.08
ACC, EQ, 01-Feb-2013, 1323.10, 1325.00, 1332.90, 1315.15, 1315.30, 1318.75, 1324.40, 161112, 2133.76, 83920, 52.09
ACCELYA, BE, 01-Feb-2013, 369.45, 369.45, 375.95, 362.05, 372.00, 366.45, 366.76, 2139, 7.84, -, -
ACE, EQ, 01-Feb-2013, 18.50, 18.50, 18.80, 18.20, 18.40, 18.35, 18.43, 89189, 16.44, 65081, 72.97
ACROPETAL, EQ, 01-Feb-2013, 9.20, 9.45, 9.95, 9.25, 9.80, 9.85, 9.61, 57149, 5.49, 43914, 76.84
ADANIENT, EQ, 01-Feb-2013, 250.05, 252.10, 255.85, 244.00, 245.30, 245.75, 249.54, 2091967, 5220.38, 496306, 23.72
ADANIPORTS, EQ, 01-Feb-2013, 150.55, 151.70, 156.65, 149.25, 149.95, 149.95, 152.21, 3716667, 5657.28, 1905904, 51.28
ADANIPOWER, EQ, 01-Feb-2013, 61.00, 60.95, 61.30, 59.70, 60.40, 60.40, 60.55, 2048138, 1240.06, 948890, 46.33
ADFFOODS, EQ, 01-Feb-2013, 70.00, 70.95, 73.40, 68.55, 70.20, 70.20, 71.15, 32856, 23.38, 17994, 54.77
ADHUNIK, EQ, 01-Feb-2013, 37.45, 37.95, 38.45, 37.25, 38.00, 37.75, 37.83, 54445, 20.60, 26720, 49.08
